srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,57910,0.0,80,tcp,ACC,0.06815791130065918,461,3317,128,55,0,0,http,6763.70491998251,48666.39743944031,4,4,514,16,2898728283,2470671301,115.25,829.25,0,0,0.01816713126399081,0.010838454619870526,1777313854.165874,1777313854.234032,0.022719303766886394,0.01497197151184082,0.02324700355529785,0.06807994842529297,0.02324700355529785,0,262,1,0,0,3,1,1,335,3,1,1
0.0,57408,0.0,53,udp,INT,0.12017107009887695,76,158,128,124,0,0,dns,632.4317486518767,1314.7923195657436,1,1,0,0,0,0,76.0,158.0,0,0,0.0,0.0,1777313854.269939,1777313854.39011,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,185,185,335,191,1,185
0.0,57408,0.0,53,udp,INT,0.45602989196777344,76,158,128,124,0,0,dns,166.65574195599166,346.46851617166686,1,1,0,0,0,0,76.0,158.0,0,0,0.0,0.0,1777313854.301507,1777313854.757537,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,2,2,335,191,1,2
0.0,57911,0.0,80,tcp,ACC,0.3447580337524414,461,1806,128,55,0,0,http,1337.1697099625178,5238.456607792424,4,4,514,16,2360488110,2386248007,115.25,451.5,0,0,0.10647557116610083,0.041497337477442144,1777313854.395591,1777313854.740349,0.11491934458414714,0.029343048731486004,0.25674009323120117,0.34467005729675293,0.25674009323120117,0,262,1,0,0,3,1,1,335,3,1,1
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313855.246436,1777313855.246436,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,5,5,1,1,3,1
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313856.374904,1777313856.374904,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,6,6,1,1,5,1
0.0,57621,0.0,57621,udp,INT,30.00313687324524,172,0,64,0,0,0,other,5.732733904679744,0.0,2,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313857.646105,1777313887.649242,30.00313687324524,0.0,0.0,0.0,0.0,1,15,0,0,0,1,6,6,1,1,5,1
0.0,57621,0.0,57621,udp,INT,30.09592604637146,172,0,128,0,0,0,other,5.715059232102855,0.0,2,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313859.292266,1777313889.388192,30.09592604637146,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,11,1
0.0,57621,0.0,57621,udp,INT,3.06286883354187,172,0,128,0,0,0,other,56.15650207296046,0.0,2,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313860.829724,1777313863.892593,3.06286883354187,0.0,0.0,0.0,0.0,1,90,0,0,0,1,6,6,1,1,5,1
0.0,57915,0.0,53,tcp,ACC,0.06603789329528809,436,460,128,124,0,0,dns,6602.269973247456,6965.697678196857,7,6,515,8212,1101921790,4004430320,62.285714285714285,76.66666666666667,0,0,0.0129045893179702,0.015041424449135308,1777313861.5164,1777313861.582438,0.011006315549214682,0.012231588363647461,0.004823923110961914,0.06588387489318848,0.004823923110961914,0,262,0,0,0,191,185,185,335,191,1,185
0.0,57916,0.0,53,tcp,ACC,0.07064485549926758,370,450,128,124,0,0,dns,5237.465593001829,6369.890586083306,6,5,514,1026,3401863843,3602166587,61.666666666666664,90.0,0,0,0.01336234225318472,0.012444927565414482,1777313861.517074,1777313861.587719,0.014128971099853515,0.014988243579864502,0.010792970657348633,0.07058882713317871,0.010792970657348633,0,262,0,0,0,191,185,185,335,191,1,185
0.0,59426,0.0,443,udp,INT,29.021544933319092,11885,55807,128,58,0,0,https,409.52333955023374,1922.9506950172397,72,82,0,0,0,0,165.06944444444446,680.5731707317074,0,0,1.0352453963118102,0.9820043358278568,1777313861.557598,1777313890.579143,0.40875415399040976,0.34348306243802296,0.0,0.0,0.0,0,90,0,0,0,139,2,2,335,139,1,2
0.0,57839,0.0,443,tcp,RST,0.1100149154663086,55,56,128,52,0,0,https,499.9322116176458,509.02188819251205,1,1,513,0,107378603,1743509139,55.0,56.0,0,0,0.0,0.0,1777313861.583655,1777313861.69367,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,139,1,1,335,139,1,1
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,64,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313863.585247,1777313863.585247,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,1,2,2,1,1,1,1
0.0,138,0.0,138,udp,INT,1e-06,253,0,128,0,0,0,other,253000000.0,0.0,1,0,0,0,0,0,253.0,0.0,0,0,0.0,0.0,1777313863.585247,1777313863.585247,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,3,1
0.0,137,0.0,137,udp,INT,1e-06,92,0,64,0,0,0,other,92000000.0,0.0,1,0,0,0,0,0,92.0,0.0,0,0,0.0,0.0,1777313863.585247,1777313863.585247,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,1,19,19,1,1,4,1
0.0,57919,0.0,53,tcp,ACC,0.0416719913482666,391,234,128,124,0,0,dns,9382.80094973825,5615.282409817776,6,4,515,8212,1643363424,138990770,65.16666666666667,58.5,0,0,0.010920635143418756,0.011285532439360948,1777313864.634107,1777313864.675779,0.00833439826965332,0.013036330540974935,0.0025959014892578125,0.04161477088928223,0.0025959014892578125,0,262,0,0,0,191,185,185,335,191,1,185
